2025-04-23 13:05:22.161722 | XAUUSDm | SELL | Entry: 3308.983 | SL: 3324.97 | TP: 3229.06
2025-04-23 13:10:22.438445 | XAUUSDm | SELL | Entry: 3304.842 | SL: 3320.92 | TP: 3224.43
2025-04-23 13:20:22.761386 | XAUUSDm | SELL | Entry: 3303.171 | SL: 3318.45 | TP: 3226.78
2025-04-23 13:25:26.008987 | XAUUSDm | SELL | Entry: 3307.627 | SL: 3323.18 | TP: 3229.87
2025-04-23 13:30:26.015932 | XAUUSDm | SELL | Entry: 3296.343 | SL: 3311.03 | TP: 3222.92
2025-04-23 13:35:26.235125 | XAUUSDm | SELL | Entry: 3301.225 | SL: 3316.54 | TP: 3224.67
2025-04-23 13:40:26.528811 | XAUUSDm | SELL | Entry: 3286.938 | SL: 3303.3 | TP: 3205.14
2025-04-23 13:50:27.578414 | XAUUSDm | SELL | Entry: 3282.26 | SL: 3299.93 | TP: 3193.89
2025-04-23 13:55:31.138076 | XAUUSDm | SELL | Entry: 3276.225 | SL: 3294.51 | TP: 3184.79
2025-04-23 14:00:35.131975 | XAUUSDm | SELL | Entry: 3267.405 | SL: 3286.24 | TP: 3173.24
2025-04-23 14:05:35.376834 | XAUUSDm | SELL | Entry: 3265.867 | SL: 3285.08 | TP: 3169.81
2025-04-23 14:10:35.628272 | XAUUSDm | SELL | Entry: 3261.918 | SL: 3281.14 | TP: 3165.82
2025-04-23 14:20:38.374605 | XAUUSDm | BUY | Entry: 3280.992 | SL: 3261.01 | TP: 3380.89
2025-04-23 14:25:41.104191 | XAUUSDm | BUY | Entry: 3277.431 | SL: 3260.04 | TP: 3364.38
2025-04-23 14:45:41.132970 | XAUUSDm | BUY | Entry: 3289.375 | SL: 3268.97 | TP: 3391.38
2025-04-23 14:50:41.362511 | XAUUSDm | BUY | Entry: 3294.209 | SL: 3273.12 | TP: 3399.68
2025-04-23 14:55:41.612193 | XAUUSDm | BUY | Entry: 3290.538 | SL: 3269.29 | TP: 3396.77
2025-04-23 15:00:41.881509 | XAUUSDm | SELL | Entry: 3287.163 | SL: 3308.31 | TP: 3181.43
2025-04-23 15:05:45.172607 | XAUUSDm | SELL | Entry: 3288.529 | SL: 3310.58 | TP: 3178.29
2025-04-23 15:10:45.179511 | XAUUSDm | SELL | Entry: 3285.679 | SL: 3307.73 | TP: 3175.44
2025-04-23 15:15:48.180532 | XAUUSDm | SELL | Entry: 3276.42 | SL: 3298.01 | TP: 3168.47
2025-04-23 15:20:48.789400 | XAUUSDm | SELL | Entry: 3272.242 | SL: 3294.43 | TP: 3161.28
2025-04-23 15:25:49.287676 | XAUUSDm | SELL | Entry: 3277.781 | SL: 3300.69 | TP: 3163.25
2025-04-23 15:46:20.003395 | XAUUSDm | BUY | Entry: 3282.747 | SL: 3261.52 | TP: 3388.89
2025-04-23 15:51:24.865514 | XAUUSDm | BUY | Entry: 3284.245 | SL: 3262.48 | TP: 3393.05
2025-04-23 15:56:25.848054 | XAUUSDm | BUY | Entry: 3283.889 | SL: 3262.11 | TP: 3392.81
2025-04-23 16:13:12.558271 | XAUUSDm | BUY | Entry: 3288.15 | SL: 3265.97 | TP: 3399.03
2025-04-23 16:18:12.799089 | XAUUSDm | BUY | Entry: 3289.874 | SL: 3268.32 | TP: 3397.67
2025-04-23 16:23:13.309268 | XAUUSDm | BUY | Entry: 3292.758 | SL: 3270.97 | TP: 3401.69
2025-04-23 16:28:13.750707 | XAUUSDm | BUY | Entry: 3291.792 | SL: 3269.94 | TP: 3401.03
2025-04-23 16:35:42.732127 | XAUUSDm | BUY | Entry: 3293.774 | SL: 3272.28 | TP: 3401.25
2025-04-23 16:40:45.960334 | XAUUSDm | BUY | Entry: 3298.211 | SL: 3276.19 | TP: 3408.29
2025-04-23 16:50:47.268855 | XAUUSDm | BUY | Entry: 3302.843 | SL: 3281.02 | TP: 3411.97
2025-04-23 16:55:49.558622 | XAUUSDm | BUY | Entry: 3297.667 | SL: 3275.84 | TP: 3406.79
2025-04-23 17:12:26.107714 | XAUUSDm | SELL | Entry: 3293.555 | SL: 3305.6 | TP: 3233.33
2025-04-23 17:17:28.799098 | XAUUSDm | SELL | Entry: 3285.182 | SL: 3303.96 | TP: 3191.29
2025-04-23 17:22:29.050392 | XAUUSDm | SELL | Entry: 3287.188 | SL: 3305.6 | TP: 3195.13
2025-04-23 17:22:54.393676 | XAUUSDm | SELL | Entry: 3287.425 | SL: 3305.6 | TP: 3251.08
2025-04-23 17:27:54.744880 | XAUUSDm | SELL | Entry: 3282.878 | SL: 3301.95 | TP: 3244.73
2025-04-23 18:55:38.712449 | XAUUSDm | SELL | Entry: 3282.386 | SL: 3300.24 | TP: 3246.67
2025-04-23 19:00:13.983464 | XAUUSDm | SELL | Entry: 3282.386 | SL: 3300.24 | TP: 3246.67
2025-04-23 19:20:44.777923 | XAUUSDm | BUY | Entry: 3291.025 | SL: 3279.28 | TP: 3314.51
2025-04-23 19:29:36.514245 | XAUUSDm | SELL | Entry: 3282.386 | SL: 3300.24 | TP: 3246.67
2025-04-23 19:30:10.711071 | XAUUSDm | SELL | Entry: 3282.386 | SL: 3300.24 | TP: 3246.67
2025-04-23 19:31:52.067909 | XAUUSDm | SELL | Entry: 3282.386 | SL: 3300.24 | TP: 3246.67
2025-04-23 19:33:48.293021 | XAUUSDm | SELL | Entry: 3282.386 | SL: 3300.24 | TP: 3246.67
2025-04-23 22:37:49.800807 | XAUUSDm | BUY | Entry: 3309.738 | SL: 3299.32 | TP: 3330.57
2025-04-23 22:42:52.366950 | XAUUSDm | BUY | Entry: 3313.198 | SL: 3302.31 | TP: 3334.97
2025-04-23 22:57:53.171885 | XAUUSDm | SELL | Entry: 3309.116 | SL: 3315.91 | TP: 3295.53
2025-04-23 23:22:56.327152 | XAUUSDm | BUY | Entry: 3311.386 | SL: 3300.83 | TP: 3332.5
2025-04-23 23:27:58.916756 | XAUUSDm | BUY | Entry: 3311.263 | SL: 3300.61 | TP: 3332.57
2025-04-23 23:32:58.923754 | XAUUSDm | BUY | Entry: 3312.787 | SL: 3302.94 | TP: 3332.48
2025-04-23 23:37:59.209727 | XAUUSDm | BUY | Entry: 3312.694 | SL: 3302.82 | TP: 3332.45
2025-04-23 23:42:59.463015 | XAUUSDm | BUY | Entry: 3311.557 | SL: 3301.62 | TP: 3331.44
2025-04-23 23:47:59.713101 | XAUUSDm | BUY | Entry: 3314.836 | SL: 3305.29 | TP: 3333.92
2025-04-23 23:52:59.984503 | XAUUSDm | BUY | Entry: 3315.587 | SL: 3305.84 | TP: 3335.08
2025-04-23 23:58:00.258537 | XAUUSDm | BUY | Entry: 3313.872 | SL: 3304.12 | TP: 3333.37
2025-04-24 00:03:00.546982 | XAUUSDm | BUY | Entry: 3315.976 | SL: 3306.57 | TP: 3334.79
2025-04-24 00:08:03.078827 | XAUUSDm | BUY | Entry: 3314.146 | SL: 3304.57 | TP: 3333.29
2025-04-24 00:13:03.083581 | XAUUSDm | BUY | Entry: 3318.721 | SL: 3308.86 | TP: 3338.43
2025-04-24 00:18:03.362278 | XAUUSDm | BUY | Entry: 3322.168 | SL: 3312.43 | TP: 3341.64
2025-04-24 00:23:03.635547 | XAUUSDm | BUY | Entry: 3323.046 | SL: 3313.1 | TP: 3342.95
2025-04-24 00:28:03.928746 | XAUUSDm | BUY | Entry: 3331.742 | SL: 3321.04 | TP: 3353.14
2025-04-24 00:33:06.482867 | XAUUSDm | BUY | Entry: 3335.372 | SL: 3324.22 | TP: 3357.67
2025-04-24 00:38:06.764193 | XAUUSDm | BUY | Entry: 3334.467 | SL: 3323.17 | TP: 3357.05
2025-04-24 00:43:07.037971 | XAUUSDm | BUY | Entry: 3331.408 | SL: 3319.79 | TP: 3354.65
2025-04-24 00:53:07.327415 | XAUUSDm | SELL | Entry: 3330.63 | SL: 3339.12 | TP: 3313.66
2025-04-24 00:58:09.885788 | XAUUSDm | SELL | Entry: 3333.793 | SL: 3339.12 | TP: 3323.15
2025-04-24 01:03:10.160652 | XAUUSDm | BUY | Entry: 3338.578 | SL: 3326.61 | TP: 3362.51
2025-04-24 01:08:12.705385 | XAUUSDm | BUY | Entry: 3345.679 | SL: 3332.8 | TP: 3371.43
2025-04-24 01:13:12.990412 | XAUUSDm | BUY | Entry: 3344.642 | SL: 3331.77 | TP: 3370.39
2025-04-24 01:18:13.269051 | XAUUSDm | BUY | Entry: 3356.47 | SL: 3342.84 | TP: 3383.74
2025-04-24 01:23:13.541751 | XAUUSDm | BUY | Entry: 3357.187 | SL: 3343.17 | TP: 3385.22
2025-04-24 01:28:16.131580 | XAUUSDm | BUY | Entry: 3359.523 | SL: 3345.4 | TP: 3387.76
2025-04-24 01:33:16.398512 | XAUUSDm | BUY | Entry: 3357.958 | SL: 3345.89 | TP: 3382.1
2025-04-24 01:38:16.686099 | XAUUSDm | BUY | Entry: 3358.221 | SL: 3345.95 | TP: 3382.76
2025-04-24 01:43:16.951838 | XAUUSDm | BUY | Entry: 3364.886 | SL: 3351.94 | TP: 3390.78
2025-04-24 01:53:19.502808 | XAUUSDm | SELL | Entry: 3350.719 | SL: 3364.58 | TP: 3323.0
2025-04-24 01:58:22.046011 | XAUUSDm | SELL | Entry: 3354.965 | SL: 3367.55 | TP: 3329.8
2025-04-24 02:23:22.073163 | XAUUSDm | SELL | Entry: 3351.563 | SL: 3366.24 | TP: 3322.22
2025-04-24 02:28:24.603934 | XAUUSDm | SELL | Entry: 3353.091 | SL: 3367.55 | TP: 3324.18
2025-04-24 02:38:24.613995 | XAUUSDm | SELL | Entry: 3342.023 | SL: 3358.13 | TP: 3309.81
2025-04-24 02:43:27.202947 | XAUUSDm | SELL | Entry: 3340.33 | SL: 3356.75 | TP: 3307.48
2025-04-24 03:13:29.839415 | XAUUSDm | SELL | Entry: 3332.988 | SL: 3350.63 | TP: 3297.71
2025-04-24 03:23:32.362450 | XAUUSDm | SELL | Entry: 3330.556 | SL: 3348.45 | TP: 3294.77
2025-04-24 03:28:34.900066 | XAUUSDm | SELL | Entry: 3332.546 | SL: 3350.82 | TP: 3295.99
2025-04-24 03:33:37.421380 | XAUUSDm | SELL | Entry: 3327.298 | SL: 3345.14 | TP: 3291.62
2025-04-24 03:38:39.962835 | XAUUSDm | SELL | Entry: 3322.293 | SL: 3340.7 | TP: 3285.48
2025-04-24 03:43:42.486101 | XAUUSDm | SELL | Entry: 3326.106 | SL: 3344.58 | TP: 3289.16
2025-04-24 08:20:15.076660 | XAUUSDm | BUY | Entry: 3330.435 | SL: 3317.15 | TP: 3357.01
2025-04-24 08:25:18.522029 | XAUUSDm | BUY | Entry: 3333.289 | SL: 3319.71 | TP: 3360.44
2025-04-24 08:35:28.575457 | XAUUSDm | BUY | Entry: 3335.167 | SL: 3321.71 | TP: 3362.09
2025-04-24 08:40:28.857423 | XAUUSDm | BUY | Entry: 3333.195 | SL: 3319.73 | TP: 3360.12
2025-04-24 08:50:29.973735 | XAUUSDm | BUY | Entry: 3340.884 | SL: 3327.17 | TP: 3368.31
2025-04-24 08:55:29.980900 | XAUUSDm | BUY | Entry: 3338.446 | SL: 3324.7 | TP: 3365.95
2025-04-24 09:10:29.999812 | XAUUSDm | BUY | Entry: 3339.874 | SL: 3326.81 | TP: 3365.99
2025-04-24 09:30:32.834284 | XAUUSDm | SELL | Entry: 3332.584 | SL: 3342.93 | TP: 3311.9
2025-04-24 09:35:35.618518 | XAUUSDm | SELL | Entry: 3329.763 | SL: 3341.76 | TP: 3305.77
2025-04-24 09:40:35.967534 | XAUUSDm | SELL | Entry: 3330.422 | SL: 3342.48 | TP: 3306.3
