2025-07-01 19:38:52.416636 | BTCUSDm | SELL | Entry: 105654.73 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:40:37.184230 | BTCUSDm | SELL | Entry: 105666.09 | TP: 105546.09 | SL: None | Lot: 0.01
2025-07-01 19:40:37.664247 | BTCUSDm | SELL | Entry: 105652.06 | TP: 105546.09 | SL: None | Lot: 0.01
2025-07-01 19:40:39.981550 | BTCUSDm | BUY | Entry: 105712.06 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:41:49.170583 | BTCUSDm | SELL | Entry: 105650.62 | TP: 105530.62 | SL: None | Lot: 0.01
2025-07-01 19:41:54.174965 | BTCUSDm | SELL | Entry: 105650.62 | TP: 105530.62 | SL: None | Lot: 0.01
2025-07-01 19:42:00.183077 | BTCUSDm | SELL | Entry: 105499.2 | TP: 105379.2 | SL: None | Lot: 0.01
2025-07-01 19:42:00.662069 | BTCUSDm | SELL | Entry: 105497.24 | TP: 105379.2 | SL: None | Lot: 0.01
2025-07-01 19:42:03.064228 | BTCUSDm | BUY | Entry: 105557.24 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:42:37.226867 | BTCUSDm | SELL | Entry: 105499.2 | TP: 105379.2 | SL: None | Lot: 0.01
2025-07-01 19:42:37.970301 | BTCUSDm | SELL | Entry: 105507.05 | TP: 105379.2 | SL: None | Lot: 0.01
2025-07-01 19:42:40.453689 | BTCUSDm | BUY | Entry: 105567.05 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:45:01.211380 | BTCUSDm | BUY | Entry: 105536.68 | TP: 105656.68 | SL: None | Lot: 0.01
2025-07-01 19:45:01.536311 | BTCUSDm | BUY | Entry: 105577.19 | TP: 105656.68 | SL: None | Lot: 0.01
2025-07-01 19:45:03.871376 | BTCUSDm | SELL | Entry: 105517.19 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:48:01.101865 | BTCUSDm | BUY | Entry: 105682.17 | TP: 105802.17 | SL: None | Lot: 0.01
2025-07-01 19:48:01.450867 | BTCUSDm | BUY | Entry: 105696.91 | TP: 105802.17 | SL: None | Lot: 0.01
2025-07-01 19:48:03.770464 | BTCUSDm | SELL | Entry: 105636.91 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:51:01.739926 | BTCUSDm | SELL | Entry: 105622.55 | TP: 105502.55 | SL: None | Lot: 0.01
2025-07-01 19:51:02.071759 | BTCUSDm | SELL | Entry: 105623.39 | TP: 105502.55 | SL: None | Lot: 0.01
2025-07-01 19:51:04.412670 | BTCUSDm | BUY | Entry: 105683.39 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 19:59:25.290634 | BTCUSDm | SELL | Entry: 105523.66 | TP: 105403.66 | SL: None | Lot: 0.01
2025-07-01 19:59:25.594630 | BTCUSDm | SELL | Entry: 105538.16 | TP: 105403.66 | SL: None | Lot: 0.01
2025-07-01 19:59:28.165162 | BTCUSDm | BUY | Entry: 105598.16 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:01:12.459410 | BTCUSDm | SELL | Entry: 105348.97 | TP: 105228.97 | SL: None | Lot: 0.01
2025-07-01 20:01:12.801431 | BTCUSDm | SELL | Entry: 105337.53 | TP: 105228.97 | SL: None | Lot: 0.01
2025-07-01 20:01:15.464871 | BTCUSDm | BUY | Entry: 105397.53 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:01:49.298157 | BTCUSDm | SELL | Entry: 105348.97 | TP: 105228.97 | SL: None | Lot: 0.01
2025-07-01 20:01:49.901028 | BTCUSDm | SELL | Entry: 105363.52 | TP: 105228.97 | SL: None | Lot: 0.01
